Pass,SpreadModel,TimeFrame,LookBack,RegressionLookBack,ZScoreOpen,ZScoreClose,AddZStep,MaxAddCount,AddLotStep,BaseLots,MinBasketProfit,ExtremeZThreshold,NetProfit,Sharpe,ProfitFactor,MaxAccountProfit,MaxAccountLoss,WorstBasketLoss,MaxEquityDrawdown,MaxEquityDrawdownPct,LongestBasketHoldHours,AvgBasketHoldHours,MaxExtremeZHours,AvgExtremeZHours,BasketCountObserved,ExtremeZEpisodeCount,ActiveBasketAgeHoursAtEnd,Score
38,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,3.0,7,0.00,0.01,1,3,478.42,1.578633,1.286438,495.87,35.80,257.95,261.72,2.5497,1128.1164,48.6130,1.2067,0.0213,87,5679,30.1889,91.260524
68,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,2.5,7,0.02,0.01,1,3,728.85,0.955621,1.219869,746.31,580.50,716.21,725.95,7.1554,1424.6686,50.8400,1.2067,0.0213,89,5679,30.2028,31.826351
98,OLS_LOG_RESIDUAL,M15,60,60,2.0,0,2.0,7,0.04,0.01,1,3,1227.42,0.401392,1.144457,1386.88,2254.77,2629.24,2644.98,25.4565,1541.6619,57.8855,1.2067,0.0213,88,5679,1541.6619,0.586591
39,OLS_LOG_RESIDUAL,M30,60,60,3.0,0,3.0,7,0.00,0.01,1,3,117.33,0.403152,1.113509,262.30,148.61,246.46,246.60,2.4030,1541.8217,147.4219,2.9392,0.0254,31,3222,1541.8217,0.183756
7,OLS_LOG_RESIDUAL,M30,60,60,3.0,0,1.0,7,0.00,0.01,1,3,108.73,0.179805,1.059371,391.13,397.30,529.05,553.43,5.4492,1541.8217,100.4445,2.9392,0.0254,41,3222,1541.8217,0.028477
69,OLS_LOG_RESIDUAL,M30,60,60,2.5,0,2.5,7,0.02,0.01,1,3,-490.65,-0.460781,0.714649,303.09,1404.60,1701.54,1707.69,16.5745,1424.4642,116.2500,2.9392,0.0254,41,3222,992.3572,-38.496442
99,OLS_LOG_RESIDUAL,M30,60,60,2.0,0,2.0,7,0.04,0.01,1,3,561.27,0.430907,1.166124,703.47,1442.89,1798.52,1800.85,17.3861,2303.8953,101.8142,2.9392,0.0254,48,3222,195.7589,2.375002
70,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,2.5,7,0.02,0.01,1,3,913.64,1.644754,1.289300,931.09,100.60,510.46,519.92,4.9000,1128.1164,45.9679,1.2067,0.0213,89,5679,30.1889,138.699063
8,OLS_LOG_RESIDUAL,M15,60,60,1.5,0,1.5,7,0.00,0.01,1,3,-109.08,-0.114625,0.959831,196.87,979.91,982.49,984.60,9.8414,3079.4886,74.6382,1.2067,0.0213,71,5679,1542.5550,-20.757084
40,OLS_LOG_RESIDUAL,M15,60,60,1.5,0,1.0,7,0.02,0.01,1,3,-415.21,-0.022249,0.971736,429.60,8738.75,8741.33,8758.67,87.4126,3026.6592,83.7438,1.2067,0.0213,63,5679,1863.9722,-178.977974
100,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,2.0,7,0.04,0.01,1,3,1280.19,0.611105,1.163882,1297.65,1231.50,1856.69,1922.76,17.9844,1424.6711,51.7997,1.2067,0.0213,88,5679,30.2028,13.919006
71,OLS_LOG_RESIDUAL,M30,60,60,3.0,0,2.5,7,0.02,0.01,1,3,152.98,0.354349,1.122607,297.95,325.24,434.24,446.15,4.4082,1541.8217,147.2738,2.9392,0.0254,31,3222,1541.8217,0.180359
